age=< 20,age=20 - 40,age=60 - 80,sex=Male,priors_count=< 10,priors_count=20 - 30,priors_count=≥ 30,juv_fel_count=< 5,juv_fel_count=5 - 10,c_charge_degree=F,race=African-American,race=Asian,race=Caucasian,race=Native American,race=Other,two_year_recid=yes
0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1
0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0
0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1
0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1
0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0
0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0
0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0
0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0
0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,1
0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0
0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1
0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0
0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,1
0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0
0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0
0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0
0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0
0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0
0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0
0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1
0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0
0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0
0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0
0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1
0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0
0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0
0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0
0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1
0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1
0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1
0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0
0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0
0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0
0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1
0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1
0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1
0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0
0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1
0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,1
0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1
0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1
0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0
0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,1
0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0
0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1
0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1
0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,1
0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1
0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0
0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1
0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0
0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,1
0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0
0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1
0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,1
0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0
0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0
0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0
0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0
0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1
0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1
0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1
0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0
0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,1
0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0
0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0
0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0
0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1
0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1
0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0
0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,1
0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0
0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,1
0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0
0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0
0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1
0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1
0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1
0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,1
0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0
0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0
0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0
0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,1
0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1
0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0
0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1
0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0
0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0
0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1
0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1
0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1
0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0
0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,1
0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1
0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1
0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0
0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1
0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0
0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0
0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0
0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0
0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0
0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1
0,1,0,1,1,0,0,0,1,1,1,0,0,0,0,1
0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,1
0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1
0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0
0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1
0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0
0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0
0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1
0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1
0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1
0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1
0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1
0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0
0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1
0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0
0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0
0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1
0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1
0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0
0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1
0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1
0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,1
0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,1
0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1
0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1
0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0
0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1
0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0
0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0
0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0
0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0
0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0
0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0
0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0
0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,1
0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,1
0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0
0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1
0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0
0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1
0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1
0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1
0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1
0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0
0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0
0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1
0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0
0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0
0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1
0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,1
0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0
0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,1
0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0
0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0
0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1
0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1
0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0
0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0
0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1
0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0
0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,1
0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0
0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1
0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,1
0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0
0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0
0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0
0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0
0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0
0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0
0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0
0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1
0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1
0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1
0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1
0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0
0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0
0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,1
0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,1
0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0
0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0
0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1
0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0
0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0
0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1
0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0
0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1
0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0
1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1
0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0
0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0
0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0
0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0
0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0
0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1
0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1
0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,1
0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0
0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0
0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1
0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1
0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0
0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0
0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0
0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,1
0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0
0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0
0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0
0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1
0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,1
0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1
0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0
0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0
0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0
0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,1
0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1
0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1
0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1
0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1
0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1
0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,1
0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1
0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0
0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,1
0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0
0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0
0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0
0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,1
0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0
0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0
0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1
0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1
0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0
0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,1
0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,1
0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0
0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0
0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0
0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0
0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0
0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0
0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0
0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0
0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1
0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0
0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0
0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1
0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0
0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0
0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,1
0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,1
0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0
0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0
0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0
0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0
0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0
0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0
0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,1
0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0
0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0
0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0
0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0
0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1
0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1
0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1
0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1
0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0
0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1
0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0
0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0
0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0
0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0
0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1
0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1
0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0
0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,1
0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0
0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0
0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0
0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0
0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1
0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,1
0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0
0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1
0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0
0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0
0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1
0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0
0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1
0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0
0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1
0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0
0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,1
0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0
0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0
0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0
0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,1
0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0
0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0
0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,1
0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0
0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0
0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1
0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0
0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1
0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0
0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0
0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0
0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0
0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0
0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0
0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0
0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1
0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0
0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0
0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1
0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,1
0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0
0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1
0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0
0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1
0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0
0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0
0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0
0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0
0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1
0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0
0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0
0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0
0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1
0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0
0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1
0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,1
0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0
0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1
0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0
0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1
0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0
0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0
0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,1
0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0
0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,1
0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,1
0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1
0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,1
0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1
0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1
0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,1
0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0
0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1
0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1
0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0
0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1
0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0
0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1
0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0
0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1
0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0
0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1
0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0
0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0
0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0
0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,1
0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0
0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0
0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1
0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1
0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1
0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0
0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0
0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1
0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1
0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1
0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,1
0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0
0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,1
0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,1
0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1
0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1
0,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0
0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1
0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1
0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0
0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0
0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,1
0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0
0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1
0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,1
0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1
0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1
0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0
0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1
0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1
